City,month,transaction_value_thousand_sar,weekly_obs,group_key,lag_1,lag_2,lag_3,lag_6,lag_12,rolling_3,rolling_std_3,rolling_6,rolling_std_6,rolling_12,rolling_std_12,month_num,month_sin,month_cos,year,trend_months
Buraidah,2022-08-01,1090150.0,4,buraidah,1302967.0,1074645.0,1201987.0,965796.0,1132761.0,1193199.6666666667,114414.36466341677,1130909.8333333333,115086.40344961114,1100194.0,117979.19784513631,8,-0.8660254037844384,-0.5000000000000004,2022,32
Buraidah,2022-09-01,1084036.0,4,buraidah,1090150.0,1302967.0,1074645.0,1141290.0,944996.0,1155920.6666666667,127581.61845004678,1151635.5,87230.57697562252,1096643.0833333333,117550.36317291127,9,-1.0,-1.8369701987210297e-16,2022,33
Buraidah,2022-10-01,1317189.0,5,buraidah,1084036.0,1090150.0,1302967.0,1098774.0,1154150.0,1159051.0,124672.39686875351,1142093.1666666667,91610.25496617,1108229.75,107682.21649255733,10,-0.8660254037844386,0.5000000000000001,2022,34
Buraidah,2022-11-01,1087249.0,4,buraidah,1317189.0,1084036.0,1090150.0,1201987.0,981077.0,1163791.6666666667,132881.15612957807,1178495.6666666667,112065.46540958401,1121816.3333333333,123174.0132999823,11,-0.5000000000000004,0.8660254037844384,2022,35
Buraidah,2022-12-01,1088849.0,4,buraidah,1087249.0,1317189.0,1084036.0,1074645.0,962351.0,1162824.6666666667,133693.08656895204,1159372.6666666667,116938.71843776412,1130664.0,115734.09146440333,12,-2.4492935982947064e-16,1.0,2022,36
Buraidah,2023-01-01,1275987.0,5,buraidah,1088849.0,1087249.0,1317189.0,1302967.0,1241534.0,1164429.0,132296.45951422877,1161740.0,115008.26388394884,1141205.5,104195.58915241153,1,0.49999999999999994,0.8660254037844387,2023,37
Buraidah,2023-02-01,1117467.0,4,buraidah,1275987.0,1088849.0,1087249.0,1090150.0,965796.0,1150695.0,108509.0039950601,1157243.3333333333,108738.67317687246,1144076.5833333333,107629.52289426411,2,0.8660254037844386,0.5000000000000001,2023,38
Buraidah,2023-03-01,1171688.0,4,buraidah,1117467.0,1275987.0,1088849.0,1084036.0,1141290.0,1160767.6666666667,100803.6138307219,1161796.1666666667,105902.565397476,1156715.8333333333,92653.97603579874,3,1.0,6.123233995736766e-17,2023,39
Buraidah,2023-04-01,1402712.0,5,buraidah,1171688.0,1117467.0,1275987.0,1317189.0,1098774.0,1188380.6666666667,80567.55823737803,1176404.8333333333,98840.773757426,1159249.0,92609.42337090135,4,0.8660254037844387,-0.4999999999999998,2023,40
Buraidah,2023-05-01,1080722.0,4,buraidah,1402712.0,1171688.0,1117467.0,1087249.0,1201987.0,1230622.3333333333,151479.76511842536,1190658.6666666667,125716.51784656884,1184577.1666666667,113722.2984017989,5,0.49999999999999994,-0.8660254037844387,2023,41
Buraidah,2023-06-01,1148875.0,4,buraidah,1080722.0,1402712.0,1171688.0,1088849.0,1074645.0,1218374.0,165994.2076459296,1189570.8333333333,126813.74178442436,1174471.75,117364.13138226501,6,1.2246467991473532e-16,-1.0,2023,42
Buraidah,2023-07-01,1345539.0,5,buraidah,1148875.0,1080722.0,1402712.0,1275987.0,1302967.0,1210769.6666666667,169683.8305388387,1199575.1666666667,119431.46030659866,1180657.5833333333,113517.46836857544,7,-0.4999999999999997,-0.8660254037844388,2023,43
Buraidah,2023-08-01,1146356.0,4,buraidah,1345539.0,1148875.0,1080722.0,1117467.0,1090150.0,1191712.0,137507.33543705952,1211167.1666666667,131133.36275626675,1184205.25,118253.82129679942,8,-0.8660254037844384,-0.5000000000000004,2023,44
Buraidah,2023-09-01,1128016.0,4,buraidah,1146356.0,1345539.0,1148875.0,1171688.0,1084036.0,1213590.0,114278.12691412127,1215982.0,127484.48102416223,1188889.0833333333,115265.12714800985,9,-1.0,-1.8369701987210297e-16,2023,45
Buraidah,2023-10-01,1384934.0,5,buraidah,1128016.0,1146356.0,1345539.0,1402712.0,1317189.0,1206637.0,120641.6723317445,1208703.3333333333,131696.35477061107,1192554.0833333333,112288.8812559801,10,-0.8660254037844386,0.5000000000000001,2023,46
Buraidah,2023-11-01,1178590.0,4,buraidah,1384934.0,1128016.0,1146356.0,1080722.0,1087249.0,1219768.6666666667,143331.01339672907,1205740.3333333333,126558.17493732537,1198199.5,120525.53200765044,11,-0.5000000000000004,0.8660254037844384,2023,47
Buraidah,2023-12-01,1435662.0,5,buraidah,1178590.0,1384934.0,1128016.0,1148875.0,1088849.0,1230513.3333333333,136101.94373826307,1222051.6666666667,112779.48180172953,1205811.25,115667.90106564443,12,-2.4492935982947064e-16,1.0,2023,48
Buraidah,2024-01-01,1138922.0,4,buraidah,1435662.0,1178590.0,1384934.0,1345539.0,1275987.0,1333062.0,136159.9485311301,1269849.5,134285.3754595039,1234712.3333333333,126598.01256614114,1,0.49999999999999994,0.8660254037844387,2024,49
Buraidah,2024-02-01,1232200.0,4,buraidah,1138922.0,1435662.0,1178590.0,1146356.0,1117467.0,1251058.0,161097.3779054147,1235413.3333333333,137448.77060878585,1223290.25,128701.29145436962,2,0.8660254037844386,0.5000000000000001,2024,50
Buraidah,2024-03-01,1599473.0,5,buraidah,1232200.0,1138922.0,1435662.0,1128016.0,1171688.0,1268928.0,151741.11633963947,1249720.6666666667,130622.92362164699,1232851.3333333333,124311.96032294395,3,1.0,6.123233995736766e-17,2024,51
Buraidah,2024-04-01,1082404.0,4,buraidah,1599473.0,1232200.0,1138922.0,1384934.0,1402712.0,1323531.6666666667,243480.822452885,1328296.8333333333,176511.26074720157,1268500.0833333333,161078.3521595835,4,0.8660254037844387,-0.4999999999999998,2024,52
Buraidah,2024-05-01,1161227.0,4,buraidah,1082404.0,1599473.0,1232200.0,1178590.0,1080722.0,1304692.3333333333,266047.81804091774,1277875.1666666667,198888.19767539398,1241807.75,163339.50605751658,5,0.49999999999999994,-0.8660254037844387,2024,53
Buraidah,2024-06-01,1471304.0,5,buraidah,1161227.0,1082404.0,1599473.0,1435662.0,1148875.0,1281034.6666666667,278577.62909884437,1274981.3333333333,200739.42348793024,1248516.5,157676.96757179286,6,1.2246467991473532e-16,-1.0,2024,54
Buraidah,2024-07-01,1099329.0,4,buraidah,1471304.0,1161227.0,1082404.0,1138922.0,1345539.0,1238311.6666666667,205590.2159061401,1280921.6666666667,206878.78970901438,1275385.5833333333,166385.3023155249,7,-0.4999999999999997,-0.8660254037844388,2024,55
