Starting date;Indicator;Sectors;City;value (Multiple units)
2025-06-22;Number of Transactions (In Thousand);Total;KHOBAR;4574.0
2025-06-22;Number of Transactions (In Thousand);Total;JEDDAH;26160.0
2025-06-22;Number of Transactions Change %;Total;TABOUK;11.064911064911065
2025-06-22;Number of Transactions Change %;Total;MADINA;9.785589628521565
2025-06-22;Value of Transactions (In Thousand SAR);Total;DAMMAM;673306.0
2025-06-22;Value of Transactions Change %;Total;BURAIDAH;21.23294765188057
2025-06-22;Value of Transactions Change %;Total;KHOBAR;17.74924286830793
2025-06-22;Value of Transactions Change %;Total;DAMMAM;18.0652412924811
2025-06-22;Value of Transactions Change %;Total;JEDDAH;20.419961750044855
2025-06-22;Number of Transactions (In Thousand);Gas Stations;Total;17172.0
2025-06-22;Number of Transactions (In Thousand);Recreation and Culture;Total;2267.0
2025-06-22;Number of Transactions (In Thousand);Telecommunication;Total;2051.0
2025-06-22;Number of Transactions (In Thousand);Other;Total;43600.0
2025-06-22;Number of Transactions (In Thousand);Total;Total;219952.0
2025-06-22;Number of Transactions Change %;Education;Total;7.2727272727272725
2025-06-22;Number of Transactions Change %;Health;Total;7.690128876929614
2025-06-22;Number of Transactions Change %;Telecommunication;Total;10.032188841201716
2025-06-22;Number of Transactions Change %;Transportation;Total;16.405307599517492
2025-06-22;Number of Transactions Change %;Other;Total;9.638645107752659
2025-06-22;Value of Transactions (In Thousand SAR);Clothing and Footwear;Total;830956.0
2025-06-15;Number of Transactions (In Thousand);Education;Total;110.0
2025-06-15;Number of Transactions (In Thousand);Health;Total;7061.0
2025-06-15;Number of Transactions (In Thousand);Furniture;Total;1071.0
2025-06-15;Number of Transactions (In Thousand);Hotels;Total;538.0
2025-06-15;Number of Transactions (In Thousand);Public Utilities;Total;657.0
2025-06-15;Number of Transactions Change %;Hotels;Total;-17.484662576687114
2025-06-15;Number of Transactions Change %;Transportation;Total;-0.718562874251497
2025-06-15;Number of Transactions Change %;Total;Total;-0.6227273396440297
2025-06-15;Value of Transactions (In Thousand SAR);Clothing and Footwear;Total;576313.0
2025-06-15;Number of Transactions Change %;Total;MAKKAH;-10.63454759106933
2025-06-15;Number of Transactions Change %;Total;KHOBAR;1.3718070009460739
